번호,제작연도,영화명,장르,감독,프로듀서,각본,캐스팅,크랭크인,크랭크업,제공,배급,제작사,개봉(예정),비고
718,2017,반도에 살어리랏다,"애니메이션,코미디",이용선,이용선,"이용선 , 김영욱","이승행 , 오가빈 , 이용우 , 박진영 , 강예솔 , 이승훈 , 이슬 , 이슬 , 이슬 , 이승훈 , 이승훈 , 이용선 , 이용선 , 이용선 , 이용선 , 이용선 , 이용선 , 이용선 , 이용선 , 이용선 , 이용선 , 이용선 , 이용선 , 이용선 , 이용선 , 이유진 , 이유진 , 박지현 , 박진영 , 박진영 , 박진영 , 김나영 , 김나영 , 김나영 , 김나영 , 김나영 , 김나영 , 김민성 , 강성우",2015-03,2017-03,,"애니메이션 배급, 씨앗",스튜디오 수집,2018-01-25,2017 안시국제애니메이션영화제 장편 비경쟁 부문 초청작/2017 BiFan 코리안 판타스틱: 장편 부문 초청작/2017 오타와국제애니메이션영화제 장편 경쟁 부문 초청작/2017 영진위 상반기 애니메이션 영화 개봉지원작
719,2017,천화,드라마,민병국,하민호,민병국,"이일화 , 양동근 , 하용수 , 이혜정 , 정나온 , 윤돈휘 , 정현주 , 송현희 , 남민우",2016-02-28,2016-03-19,(주)맑은시네마,(주)맑은시네마,(주)맑은시네마,2018-01-25,2017 JIFF 코리아 시네마스케이프 부문 초청작
720,2017,기생 : 꽃의 고백,다큐멘터리,"홍태선 , 임혁","유세문 , 송혜진 , 전상영","오정아 , 심혜영 , 홍해영","장금도 , 김가애",2016-05,2017-05,한국영상대학교,필름에이픽쳐스,한국영상대학교,2018-01-25,"2017 문화체육관광부, 방송통신위원회 제작지원작/한국영상대학교, 국악방송 제작"
721,2016,누에치던 방,드라마,이완민,"윤나경 , 남윤석 , 조성훈",이완민,"이상희 , 홍승이 , 김새벽 , 이선호 , 임형국 , 최진혁 , 정원 , 김승현 , 이주영 , 윤효진 , 이동호 , 이선미 , 이세진 , 이수연 , 이소원 , 이승훈 , 이정은 , 이지윤 , 김지원 , 김진구 , 윤종석 , 임수현 , 장일선 , 전지혜 , 박종범 , 정자영 , 채형식 , 최동민 , 최수영 , 김나현 , 김경희 , 최진혁 , 최태현 , 최효빈 , 황지선 , 김성환 , 김수정 , 김연수 , 김예슬 , 김병석 , 김동준 , 조성훈 , 최교식",2016-01-07,2016-02-06,"윈드웰러스 필름(주) , 영화사 잠","서울독립영화제 , 무브먼트","윈드웰러스 필름(주) , 영화사 잠",2018-01-31,2016 영진위 장편독립영화후반작업현물지원작/2016 BIFF 시민평론가상 수상/2016 서울독립영화제 특별초청 부문 초청작/2017 인디포럼 인디포커스 부문 초청작/2017 영진위 상반기 저예산영화개봉지원작
722,2017,염력,"드라마,코미디",연상호,"김연호 , 최병환",연상호,"이우룡 , 류승룡 , 심은경 , 박정민 , 김민재 , 정유미 , 이승용 , 예수정 , 이기환 , 이동근 , 김재원 , 백성욱 , 이재현 , 이정은 , 김주연 , 이지혜 , 이지훈 , 이현정 , 김흥태 , 나성식 , 박재규 , 조웅희 , 김기천 , 김기철 , 김기범 , 김대근 , 최영우 , 최지연 , 황영수 , 윤돈선 , 태항호 , 강덕중 , 김시우 , 엄지만 , 이지혜",2017-04-17,2017-08-06,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),(주)영화사레드피터,2018-01-31,
723,2016,종이 비행기,드라마,"노홍식 , 필동","노홍식 , 김도형 , 노태식",노홍식,"주가을 , 예슬비 , 민준호 , 송보배 , 윤은지 , 위명우 , 조현진 , 최라윤 , 이슬 , 이명진 , 김지윤 , 안소연 , 김하은 , 김아름 , 김예린 , 김소희 , 김소연",2016-07-25,2016-08-02,,(주)콘텐츠윙,(주)파란프로덕션,2018-01-31,제이제이컴퍼니/서울호서예술실용전문학교 공동제작
724,2017,뽀로로 극장판 공룡섬 대모험,애니메이션,"김현호 , 윤제완","김현호 , 남현 , 김덕이 , 우지희",김창원,"이선 , 이미자 , 함수정 , 홍소영 , 정미숙 , 김서영 , 김환진 , 엄상현",2016-05,2017-09,,(주)넥스트엔터테인먼트월드(NEW),(주)오콘,2017-12-07,2017 영진위 하반기 애니메이션 영화 개봉지원작
725,2017,초행,드라마,김대환,"장우진 , 송현영",김대환,"김새벽 , 조현철 , 류제승",2016-11-26,2016-12-20,(재)전주국제영화제조직위원회,(주)인디플러그,봄내필름,2017-12-07,"2017 JIFF 전주 시네마 프로젝트/2017 로카르노국제영화제 베스트 이머징 디렉터상 수상, 청년비평가상 특별언급/2017 마르델플라타국제영화제 최우수각본상 수상/2017 서울독립영화제 경쟁 부문 초청작/2017 영진위 하반기 저예산영화개봉지원작"
726,2017,돌아온다,드라마,허철,"최창규 , 박우찬",허철,"김유석 , 손수현 , 리우진 , 박병은 , 허상진",2016-05-27,2016-06-21,,(주)더블앤조이픽쳐스,(주)꿈길제작소,2017-12-07,동명 연극 원작/2017 JIFF 코리아 시네마스케이프 부문 초청작/2017 몬트리올국제영화제 신인감독경쟁 금상 수상
727,2017,산상수훈,드라마,유영의,김상철,유영의,"백서빈 , 최이선 , 정준영 , 오경원 , 탁우석 , 박창준 , 최현우 , 설준수 , 안순동",2016-12-12,2016-12-27,,"이언픽쳐스 , (주)그란",(주)그란,2017-12-07,2017 모스크바국제영화제 스펙트럼 부문 초청작
728,2017,메리 크리스마스 미스터 모,코미디,임대형,박두희,임대형,"기주봉 , 오정환 , 고원희 , 전여빈 , 유재명 , 전순옥 , 전재민 , 전해성 , 정연진 , 이다솔 , 이우정 , 이진희 , 김민수 , 김정영 , 김학선 , 윤태희 , 이병관 , 신정섭",2016-03-11,2016-04-07,,㈜인디스토리,영화사 달리기,2017-12-14,2015 영진위 하반기 독립영화제작지원작/2016 BIFF 아시아진흥기구상(NETPAC) 수상/2016 서울독립영화제 열혈스태프상 수상/2017 영진위 상반기 저예산영화개봉지원작
