번호,제작연도,영화명,장르,감독,프로듀서,각본,캐스팅,크랭크인,크랭크업,제공,배급,제작사,개봉(예정),비고
1,2022,고속도로 가족,드라마,이상문,,이상문,"라미란 , 정일우 , 김슬기 , 백현진",2021-10-15,,,씨제이 씨지브이(CJ CGV)(주),"(주)영화사 설렘 , (주)고고스튜디오",2022-11-02,
2,2022,옆집사람,"스릴러,코미디",염지호,,염지호,"오동민 , 최희진 , 이정현",,,(주)디스테이션,(주)디스테이션,한국예술종합학교,2022-11-03,
3,2022,초선,다큐멘터리,전후석,,,,,,,커넥트픽쳐스(주),"디아스포라 필름 , 포핸즈스토리",2022-11-03,
4,2022,탑,드라마,홍상수,,홍상수,"권해효 , 이혜영 , 송선미 , 조윤희 , 박미소 , 신석호",,,,"(주)영화제작전원사 , (주)콘텐츠판다",(주)영화제작전원사,2022-11-03,
5,2021,같은 속옷을 입는 두 여자,드라마,김세인,장지원,김세인,"임지호 , 양말복 , 양흥주 , 정보람",,,,찬란,한국영화아카데미,2022-11-10,
6,2021,첫번째 아이,드라마,허정재,,허정재,"박하선 , 오동민 , 오민애 , 공성하 , 허수민 , 임형국",,,,(주)더쿱디스트리뷰션,화원,2022-11-10,
7,2021,데시벨,액션,황인호,"김용선 , 조윤미","황인호 , 이진훈","김래원 , 김동훈 , 이종석 , 정상훈 , 박병은 , 이상희 , 조달환 , 이민기 , 김동연 , 차은우",2021-04-20,,"(주)바이포엠스튜디오 , 이스트드림시노펙스(주) , (주)마인드마크",(주)마인드마크,"이스트드림시노펙스(주) , ㈜기억속의매미",2022-11-16,
8,2022,동감,멜로/로맨스,서은영,심문보,서은영,"여진구 , 조이현 , 김혜윤 , 나인우 , 배인혁",2022-05,,(주)바이포엠스튜디오,씨제이 씨지브이(CJ CGV)(주),(주)고고스튜디오,2022-11-16,영화 '동감' 김정권 감독
9,2021,심야카페: 미씽 허니,"멜로/로맨스,판타지",정윤수,,,"채서진 , 이이경 , 박건일 , 신주환 , 정영주 , 문숙 , 조유하",2021-09-23,2021-10-22,,(주)영화특별시에스엠씨,(주)케이드래곤,2022-11-17,원작 웹드라마 [심야카페]
10,2020,트랜스,"SF,스릴러,판타지,미스터리",도내리,,,,,,,(주)마노엔터테인먼트,네거티브 필름 프로덕션즈,2022-11-17,
11,2021,올빼미,스릴러,안태진,,,"류준열 , 유해진 , 최무성 , 조성하 , 박명훈 , 김성철 , 안은진 , 조윤서",,,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),"(주)씨제스엔터테인먼트 , (주)영화사 담담",2022-11-23,
12,2021,우수,기타,오세현,,,,,,,㈜인디스토리,(주)률필름,2022-11-24,
13,2020,창밖은 겨울,"드라마,멜로/로맨스",이상진,서채훈,이상진,"곽민규 , 한선화 , 목규리",,,끼리끼리 필름,(주)영화사 진진,끼리끼리 필름,2022-11-24,
14,2021,강남좀비,드라마,이수성,,,"지일주 , 지연",2021-12-10,,(주)제이앤씨미디어그룹,"와이드 릴리즈(주) , (주)제이앤씨미디어그룹",㈜리필름,2022-11-30,
15,2021,탄생,드라마,박흥식,,박흥식,"윤시윤 , 안성기 , 윤경호 , 이문식 , 이경영 , 신정근 , 이호원 , 송지연 , 최무성 , 백지원 , 하경 , 성혁 , 임현수 , 남다름 , 김광규 , 박지훈 , 정유미 , 차청화 , 강말금 , 이준혁 , 김강우",2021-12-06,2022-04-13,,씨제이 씨지브이(CJ CGV)(주),민영화사,2022-11-30,
16,2022,모자산책,드라마,조성규,,,"윤예희 , 이성종 , 김혜나 , 이주실 , 김다현 , 정연주",,,,하준사,(주)와우,2022-11,
17,2022,압꾸정,"코미디,드라마",임진순,,,"마동석 , 정경호 , 오나라 , 최병모 , 오연서",2020-08-18,2020-11-20,(주)쇼박스,(주)쇼박스,"주식회사 빅펀치픽쳐스 , (주)홍필름 , (주)비에이엔터테인먼트",2022-11,
18,2021,영화감독 노동주,다큐멘터리,임찬익,,,,,,,(주)드림팩트엔터테인먼트,(주)미학인우주선,2022-11-30,
19,2022,통영에서의 하루,드라마,한경탁,,,"유인영 , 이미도 , 박정철 , 신현탁",,,,주식회사 블루필름웍스,투영필름,2022-11,
20,2022,고고다이노 극장판: 얼음공룡의 비밀,애니메이션,이선명,"주영진 , 김원호",,"이민규 , 전태열 , 김은아 , 엄상현 , 성완경 , 신용우 , 홍범기 , 김율 , 남도형 , 김명준 , 천지선 , 김채하 , 이영아 , 최향윤",,,,"(주)넥스트엔터테인먼트월드(NEW) , (주)블루라벨픽쳐스",(주)모꼬지,2022-10-05,
21,2020,선데이리그,코미디,이성일,홍성훈,이성일,이성욱,,,,아이 엠,선데이시네마,2022-10-05,
22,2022,컴백홈,"드라마,코미디",이연우,,,"송새벽 , 라미란 , 이범수 , 이경영 , 오대환",2021-04-11,,(주)제이앤씨미디어그룹,(주)제이앤씨미디어그룹,"(주)슬기로운늑대 , (유)조이앤시네마",2022-10-05,
23,2020,거래완료,드라마,조경호,,조경호,"전석호 , 태인호 , 조성하 , 이원종 , 김민엽 , 임승민 , 최예빈 , 최희진 , 채서은 , 이규현 , 엄서현 , 이교형 , 권일",,,,(주)스튜디오디에이치엘,한국예술종합학교 산학협력단,2022-10-06,
24,2022,극장판 검정고무신 : 즐거운 나의 집,애니메이션,"송정율 , 송요한",,,,,,,"(주)대교 미디어콘텐츠사업본부 , (주)블루라벨픽쳐스","㈜형설앤 , ㈜새한프로덕션",2022-10-06,
25,2021,애프터 미투,다큐멘터리,"박소현 , 이솜이 , 강유가람 , 김소람",,,,,,,(주)영화사 그램,애프터 미투 프로젝트 팀,2022-10-06,"A.K.A. 여고괴담,100. 나는 몸과 마음이 건강해졌다, 이후의 시간, 그레이 섹스"
26,2020,태안,다큐멘터리,구자환,,,,,,,레드무비,레드무비,2022-10-06,
27,2022,대무가,"드라마,코미디",이한종,"조회온 , 한달호 , 임준혁",이한종,"박성웅 , 양현민 , 류경수 , 정경호 , 서지유 , 남태우 , 기주봉 , 백현주 , 문창길 , 이용녀 , 김경익 , 박재홍 , 곽연근 , 이동희 , 양승호 , 서태성 , 이하늬 , 이태룡 , 권기하 , 이채현 , 이용희 , 홍민수 , 김준희 , 유순웅 , 선학 , 이가경 , 전재형 , 한이진 , 조기성 , 강홍렬 , 최재호 , 김서영 , 신승균 , 김동윤 , 윤현준 , 노형원 , 박정욱 , 정은성 , 곽지명 , 임은지 , 백란희 , 오혜현 , 이한누리 , 김진 , 오하늬 , 양경희 , 정효진 , 한재욱 , 홍준기 , 이준상 , 양정두 , 김다니엘 , 한동호 , 장명진 , 오창석 , 최한규 , 양준명 , 변만후 , 양경수 , 김바다 , 이하형 , 주광현 , 김주경 , 최진혁 , 나대남 , 조미라 , 김근영 , 허성우 , 김성하 , 이경재 , 서임철 , 최나무 , 김봉수 , 윤효식 , 임상희 , 윤경호 , 오대환 , 홍서준 , 서진원 , 한선화 , 최참사랑 , 김용완",2019-08-23,2019-12-20,(주)케이티알파,"판씨네마(주) , (주)케이티알파",(주)쿠키픽쳐스,2022-10-12,제25회 부산국제영화제 오픈시네마 섹션 공식 초청 A.K.A. 대무가: 한과 흥
28,2022,사잇소리,스릴러,김정욱,,,"류화영 , 박진우",,,(주)유비네트워크,"(주)드림팩트엔터테인먼트 , (주)아크메",(주)유비네트워크,2022-10-13,
29,2022,귀못,공포(호러),탁세웅,,,"박하나 , 허진 , 정영주",,,KBS,와이드 릴리즈(주),"KBS , (주)아센디오",2022-10-19,
30,2020,나를 죽여줘,드라마,최익환,,최익환,"장현성 , 안승균 , 이일화 , 김국희 , 양희준",,,(주)영화사이다,(주)트리플픽쳐스,"(주)영화사이다 , 환상의빛(주)",2022-10-19,원작 연극 '킬 미 나우'
31,2021,미혹,"미스터리,공포(호러)",김진영,안병래,김진영,"박효주 , 김민재 , 차선우",,,(주)엔케이컨텐츠,"(주)엔케이컨텐츠 , (주)디스테이션","엔진을켜 스튜디오 , (주)고집스튜디오 , (주)싸이더스",2022-10-19,A.K.A. 세 번째 아이
32,2021,낮과 달,드라마,이영아,,이영아,"유다인 , 조은지",,,,찬란,한국영화아카데미,2022-10-20,
33,2021,수프와 이데올로기,다큐멘터리,양영희,,,"강정희 , 양영희 , 아라이 카오루",,,,(주)엣나인필름,"㈜PLACE TO BE , ㈜나비온에어",2022-10-20,
34,2020,리멤버,드라마,이일형,문용찬,"이일형 , 윤종빈","이성민 , 남주혁 , 박근형 , 정만식 , 윤제문 , 송영창 , 문창길 , 박병호 , 최민철 , 남문철 , 양현민 , 박세현 , 윤우 , 박서연 , 하도권 , 이승준 , 정한빈 , 박민이 , 이서준 , 송유현 , 하영 , 김귀선 , 이창직 , 남민우 , 이우성 , 김우진 , 한사명 , 함희수 , 정순원 , 김훈만 , 정영섭 , 이재혁 , 조태일 , 박성현 , 공경배 , 박혜영 , 황연희 , 설창희 , 권범택 , 남상지 , 윤기창 , 박진영 , 이지유 , 김율호 , 강충훈 , 권반석 , 구자건 , 정충구 , 김민체 , 배명진 , 윤세웅 , 백익남 , 최솔희 , 권민경 , 오유미 , 이승준 , 한창현 , 박충환 , 서동복 , 강춘성 , 배기림 , 김도경 , 전두현 , 김태웅 , 김성곤 , 한지호 , 반혜영 , 조현수 , 김해준 , 이우주 , 진범일 , 노희중 , 한명철 , 곽나연 , 백승환 , 김윤찬 , 이정철 , 최기상 , 김성하 , 박병관 , 김근영 , 송경아 , 박용복 , 황영수 , 강종성 , 김상동 , 김지현 , 채승혜 , 박혜영 , 정예서 , 이다정 , 서호준 , 김관수 , 문지현 , 홍인아 , 정상현 , 김홍파",2020-02-11,,(주)에이스메이커무비웍스,(주)에이스메이커무비웍스,(주)영화사 월광,2022-10-26,
35,2020,자백,"범죄,스릴러",윤종석,,,"소지섭 , 김윤진 , 나나 , 최광일 , 박현숙",2019-12-16,2020-02-29,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,리얼라이즈픽쳐스(주),2022-10-26,
36,2021,낮에는 덥고 밤에는 춥고,드라마,박송열,원향라,"박송열 , 원향라","박송열 , 원향라 , 허중회",,,,필름다빈,사랑하자,2022-10-27,
37,2022,죽어도 자이언츠,다큐멘터리,이동윤,,,,,,,롯데컬처웍스(주)롯데엔터테인먼트,"국제신문 , 구구필름",2022-10-27,
38,2021,공조2: 인터내셔날,"액션,코미디",이석훈,"주승환 , 홍아름 , 최준호",임성순,"현빈 , 유해진 , 임윤아 , 다니엘 헤니 , 진선규 , 장영남 , 박훈 , 임성재 , 윤상화 , 박민하 , 전국환 , 전배수 , 이해영 , 서동원 , 이승훈 , 이제연 , 박형수 , 이민지 , 박종환 , 송영근 , 김중희 , 최동구 , 설찬미 , 서동복 , 박진수 , 김경식 , 변경록 , 정의순 , 이동용 , 남성준 , 김태수 , 우정국 , 김성인 , 전민 , 김태향 , 유비 , 우석준 , 현직 , 김관모 , 주재후 , 류경환 , 신욱 , 김선희 , 박광렬 , 황두하 , 전종석 , 신영훈 , 김병오 , 박재홍 , 임세인 , 김철윤 , 장현진 , 함태인 , 김진우 , 정윤하 , 강덕중 , 최미라 , 한은수 , 황인덕 , 정성인 , 명채미 , 최유지 , 추정훈 , 김원해 , 조달환",2021-02-16,2021-06-15,(주)씨제이이엔엠,(주)씨제이이엔엠,"(주)제이케이필름 , (주)씨제이이엔엠",2022-09-07,
39,2022,부적: 남의 운을 빼앗는 자,"액션,드라마",김세성,서연제,김세성,"주영호 , 권해성 , 천지유 , 이용헌 , 김시아 , 권회수 , 김신덕 , 최준하",,,,(주)트리플픽쳐스,머지션스토어,2022-09-07,
40,2022,쥬라기캅스 극장판: 공룡시대 대모험,애니메이션,김호락,"강가영 , 김동규",지한솔,"소연 , 엄상현 , 김현욱 , 강은애 , 홍범기 , 황창영 , 이현 , 박리나 , 이인성 , 김영선",,,,메가박스중앙(주)플러스엠,(주)스튜디오버튼,2022-09-07,
41,2019,극장판 엄마 까투리: 도시로 간 까투리 가족,애니메이션,정길훈,엄재웅,"도경민 , 홍정진 , 이학수 , 김성호","김서영 , 이윤희 , 김은아 , 전해리 , 이지현 , 양정화 , 홍범기 , 엄상현 , 이현 , 이명호",,,,(주)넥스트엔터테인먼트월드(NEW),(주)퍼니플럭스,2022-09-08,원작 동화 '엄마까투리' 권정생
42,2021,성적표의 김민영,드라마,"이재은 , 임지선",,"이재은 , 임지선","김주아 , 윤아정 , 손다현 , 임종민 , 심이안 , 조형일",,,,(주)엣나인필름,탁구필름,2022-09-08,제23회 서울국제여성영화제 대상 제23회 정동진독립영화제 땡그랑동전상 제9회 서울구로국제어린이영화제 포커스상 제3회 평창국제평화영화제 특별언급 제22회 전주국제영화제 대상
43,2022,당신의 이웃은 친절하지 않다,"미스터리,드라마,범죄,스릴러",안드로,강해수,"안드로 , 강해수","변동욱 , 조혜진 , 전지학 , 최우정 , 박찬우 , 박영복 , 안예림",,,,주식회사 씨엠닉스,(주)빅픽처,2022-09-15,
44,2021,둠둠,드라마,정원희,이용채,정원희,"김용지 , 윤유선 , 박종환 , 김진엽 , 김다온 , 베스티 , 안민영 , 김승비 , 김광섭 , 장승현 , 문서윤",,,"(주)이스트게이트컴퍼니 , (주)영화사 진진",(주)영화사 진진,(주)이스트게이트컴퍼니,2022-09-15,
45,2022,오! 마이 고스트,"코미디,공포(호러)",홍태선,"유세문 , 송혁조",유세문,"정진운 , 안서현 , 이주연 , 강성필 , 정태우 , 전수진 , 지대한 , 김누리 , 김가애 , 이자은 , 문종일 , 이푸름 , 최환이 , 송혁조 , 이상철 , 알렉스 , 이성은 , 조유진 , 왕호 , 최은지 , 김차이 , 송혁조 , 이준호 , 이승원 , 심예진 , 홍선기 , 김경주 , 백주은 , 권도영 , 이채린 , 박준희 , 이화진 , 한지영 , 김재인 , 노하연 , 이유주 , 김선구 , 허태경 , 이운학 , 김현성 , 유상재",2021-02-05,2021-03,,"(주)디스테이션 , 주식회사 제이씨엔터웍스","한국영상대학교 , 필름에이픽쳐스 , 주식회사 제이씨엔터웍스",2022-09-15,
46,2020,홈리스,"드라마,가족",임승현,박세암,김승현,"전봉석 , 박정연",,,그린나래미디어(주),그린나래미디어(주),"(주)타이거시네마 , DGC",2022-09-15,제21회 전주국제영화제 한국겨앵부문 CGV아트하우스상 수상
47,2022,늑대사냥,"액션,범죄",김홍선,손정현,"김홍선 , 조수빈","서인국 , 장동윤 , 최귀화 , 성동일 , 박호산 , 정소민 , 고창석 , 장영남 , 손종학 , 이성욱 , 홍지윤 , 정문성 , 임주환 , 권오율 , 김문학 , 김찬형 , 정수교 , 심우성 , 정재훈 , 유현수 , 김기창 , 엄준기 , 박봉준 , 신성민 , 강신철 , 이승훈 , 박민석 , 안지혜 , 강정우 , 김대한 , 김진만 , 조성구 , 윤기창 , 김철윤 , 송지혁 , 손현준 , 양승호 , 전우재 , 김해준 , 지남혁 , 김성령 , 정원영 , 장재호 , 김민철 , 이종윤 , 조형래 , 김태준 , 서석규 , 윤돈선 , 최현준 , 김원중 , 이재호 , 조기태 , 박선준 , 정하준 , 서정우 , 황명환 , 구민혁 , 임지섭 , 이원행 , 최우빈 , 장솔 , 김재명 , 안현준 , 김선민 , 신동력 , 김현 , 차영주 , 김용훈 , 조연희 , 최상식 , 박승진 , 천재홍 , 유상재 , 장주완 , 강용규 , 황인환 , 이병호 , 이충식 , 이원행 , 최광휘 , 김대연 , 송원종 , 이혜미 , 이시안 , 이정우 , 한태양 , 김태윤 , 김민수 , 김정훈 , 김세중 , 정시훈 , 최영우 , 안현준 , 김한준 , 이성민 , 김현진 , 김바비 , 서정빈 , 백승익 , 송원종 , 김대근 , 안현준 , 최광휘 , 송지민 , 김민석 , 김도환 , 서정원 , 신승환 , 정성일 , 권율 , 권수현 , 이홍내 , 김강훈 , 전혜원 , 박성현",2021-06-28,2022-01-05,TCO(주)더콘텐츠온,"TCO(주)더콘텐츠온 , 씨제이 씨지브이(CJ CGV)(주)","(주)콘텐츠지 , (주)영화사채움",2022-09-21,
48,2021,썬더버드,드라마,이재원,박종찬,이재원,"서현우 , 이명로 , 이설 , 박승태 , 김규백 , 최은아 , 안일권 , 윤성원 , 박찬규 , 정세환 , 이정철 , 이미은 , 전성아 , 최경준 , 황보정일 , 김선동 , 주혁 , 손화영 , 정종열 , 박상규 , 장준휘",,,,(주)트리플픽쳐스,한국영화아카데미,2022-09-21,"제26회 부천국제판타스틱영화제 코리안 판타스틱 배우상 (서현우), 왓챠가 주목한 장편상"
49,2019,프린세스 아야,"판타지,뮤지컬",이성강,"연상호 , 이동하",,"백아연 , 박진영",,,,씨제이 씨지브이(CJ CGV)(주),"주식회사 다다쇼 , (주)영화사레드피터",2022-09-21,"제21회 부천국제애니메이션페스티벌 특별상(Unity 상, 빈스로드상) A.K.A. 태양의 공주"
50,2022,기기묘묘,공포(호러),"이탁 , 남순아 , 심규호 , 김동식","김연지 , 유재인 , 유수현","남순아 , 김동식 , 심규호","금동호 , 이양희 , 이장유 , 이재일 , 장준휘 , 김아석 , 김최용준 , 김대중 , 오민애 , 김재화 , 이재인 , 정연숙 , 김수란 , 고훈목 , 허성우 , 이삼용 , 황민수 , 한해인 , 유병용 , 김미향 , 전소현 , 강진아 , 김동아 , 최은영 , 신민서 , 여미정 , 김건 , 최은영",,,,필름다빈,,2022-09-22,"A.K.A. 불모지, 유산, 청년은 살아있다., 불안은 영혼을 잠식한다"
51,2020,달이 지는 밤,드라마,"김종관 , 장건재","유기하 , 조지훈 , 신동환 , 김흥민","김종관 , 장건재","김금순 , 안소희 , 강진아 , 곽민규",,,,(주)디오시네마,(재)무주산골문화재단,2022-09-22,
52,2022,극장판 헬로카봇: 수상한 마술단의 비밀,애니메이션,"최신규 , 이슬기 , 정승원","이홍주 , 윤유병",조정희,"이지현 , 조경이 , 김용준 , 양정화 , 조경이 , 엄상현 , 홍범기 , 사문영 , 송준석 , 이정구 , 이장원 , 강시현 , 이현 , 원에스더",,,(주)초이락미디어,롯데컬처웍스(주)롯데엔터테인먼트,"(주)초이락컨텐츠컴퍼니 , 스튜디오더블유바바(주)",2022-09-28,
53,2021,물방울을 그리는 남자,다큐멘터리,"김오안 , 브리짓 부이요",,,김창열,,,,(주)영화사 진진,(주)미루픽처스,2022-09-28,
54,2021,성덕,다큐멘터리,오세연,,오세연,,,,오드,오드,해랑사,2022-09-28,
55,2020,인생은 아름다워,뮤지컬,최국희,남성호,배세영,"류승룡 , 염정아 , 박세완 , 옹성우 , 심달기 , 정현정 , 하현상 , 김다인 , 유순웅 , 이세령 , 김민체 , 조승연 , 조수지 , 변진수 , 문정대 , 박경근 , 김호준 , 정영섭 , 박경찬 , 황정윤 , 한이진 , 김영준 , 남성호 , 이희규 , 김진아 , 전무송 , 박영규 , 김혜옥 , 신신애 , 김종수 , 고창석 , 염혜란 , 김선영 , 류현경",2019-10-14,2020-02-06,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,더램프(주),2022-09-28,
56,2022,정직한 후보2,코미디,장유정,"정혜영 , 박재성",박하나,"라미란 , 김무열 , 윤경호 , 서현우 , 박진주 , 윤두준 , 김용림 , 신재휘 , 배해선 , 성열석 , 이진희 , 장원형 , 박주용 , 임영우 , 신윤정 , 김귀선 , 하성광 , 정영기 , 류경환 , 정예훈 , 이혜라 , 홍승균 , 한창현 , 정혜경 , 한동호 , 김석영 , 채수연 , 박선혜 , 오재세 , 김아라 , 유형준 , 임태훈 , 정우혁 , 유일한 , 문규민 , 이재은 , 강숙 , 조용환 , 변동욱 , 홍인아 , 김태율 , 황우상 , 유영복 , 박재완 , 오규택 , 이은석 , 차정민 , 오윤수 , 이명자 , 이순풍 , 임용순 , 김동인 , 나호숙 , 김지혜 , 임승묵 , 이태영 , 유준상 , 김재화 , 김지성 , 온주완 , 윤사봉 , 나문희",2021-07-31,2021-10-31,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),"(주)수필름 , (주)홍필름",2022-09-28,
57,2022,주연,"드라마,미스터리",송원준,"박재민 , 박재민",정작가,"민도희 , 김대건 , 오민애 , 이종윤 , 손용범 , 박재민 , 길해연 , 장준현 , 박서은 , 이동기 , 정애화 , 장준휘 , 김휘규 , 윤설",,,영화사 퐑,(주)마노엔터테인먼트,영화사 퐑,2022-09-29,
58,2022,2차 송환,다큐멘터리,김동원,,,김영식,,,,(주)시네마달,푸른영상,2022-09-29,제23회 전주국제영화제 다큐멘터리상
59,2022,비상선언,드라마,한재림,"김대승 , 김요환 , 한재훈 , 송두선 , 이지혜",한재림,,2020-05-30,2020-10-24,(주)쇼박스,(주)쇼박스,"(주)매그넘나인 , (주)씨제스엔터테인먼트 , 씨네주 유한회사",2022-08-03,제74회 칸 영화제 비경쟁 부문 공식 초청
60,2022,헌트,"액션,드라마",이정재,"박민정 , 조재상","이정재 , 조승희","이상혁 , 이정재 , 정우성 , 전혜진 , 허성태 , 고윤정 , 김종수 , 정만식 , 임형국 , 정경순 , 정재성 , 송영창 , 강경헌 , 임성재 , 정성모 , 손성호 , 김학선 , 오만석 , 김문찬 , 박건우 , 이채은 , 김윤도 , 송덕호 , 이서한 , 장서경 , 김찬형 , 송철호 , 김형범 , 경성환 , 윤정섭 , 최우준 , 정재현 , 이정민 , 김효준 , 차래형 , 박중근 , 홍성덕 , 박윤희 , 문정대 , 이도국 , 이한주 , 고서희 , 손경원 , 이태형 , 조진결 , 고경만 , 김호준 , 김은우 , 정종우 , 박민이 , 윤대열 , 김완수 , 김결 , 김덕주 , 민경옥 , 김송일 , 이가경 , 차우진 , 박민정 , 옥주리 , 조광유 , 박도영 , 조혜린 , 박병관 , 이도헌 , 이주안 , 손승범 , 장재혁 , 박인국 , 문유성 , 김동형 , 김시원 , 배정환 , 이시안 , 정상균 , 박영준 , 최기표 , 김재환 , 남열 , 태윤 , 박형준 , 백승우 , 이찬희 , 전현석 , 김준한 , 장나라 , 이웅규 , 이지영 , 진가민 , 허윤 , 권민경 , 이재원 , 김명선 , 김의신 , 조영미 , 최은애 , 백경윤 , 박서희 , 박민정 , 김기태 , 김재환 , 김한솔 , 서문호 , 여이레 , 이도군 , 홍지원 , 황정민 , 이성민 , 유재명 , 박성웅 , 조우진 , 김남길 , 주지훈 , 정용식 , 김동규 , 김동훈",2021-05-08,2021-11-13,메가박스중앙(주)플러스엠,메가박스중앙(주)플러스엠,"(주)아티스트스튜디오 , (주)사나이픽처스",2022-08-10,제75회 칸 영화제 미드나잇 스크리닝 부문 초청
61,2021,모퉁이,드라마,신선,,,"이택근 , 하성국 , 백수희 , 황미영",,,,(주)영화사 그램,,2022-08-11,
62,2022,오싹한 동거,"멜로/로맨스,공포(호러)",황경성,"정은혜 , 송예은","황경성 , 양훈모","김소정 , 정찬우 , 이유진 , 이중문 , 김예지 , 송영숙 , 주수경 , 박상후 , 이승철 , 박형섭 , 오채아 , 김환 , 박은우 , 박하연 , 유지완 , 이지원 , 송인호 , 구종근 , 이승민 , 박선오 , 배은영 , 오정민 , 박창현 , 박영 , 김민지 , 이동찬",,,,(주)컨택트미디어,(주)컨택트미디어,2022-08-17,
63,2019,녹턴,다큐멘터리,정관조,"정관조 , 하현제",,"은성호 , 은건기 , 손민서",,,,(주)시네마달,미디어나무,2022-08-18,제12회 밀레니엄 국제다큐멘터리영화제 Special Prize of the Jury 제42회 모스크바 국제영화제 다큐멘터리 베스트 다큐멘터리상 제11회 DMZ국제다큐멘터리영화제 DMZ 예술공헌상
64,2021,투란도트 어둠의 왕국,뮤지컬,김시우,,김시우,"배다해 , 민우혁 , 양서윤 , 성기윤",,,,주식회사 블루필름웍스,(주)나인테일즈코리아,2022-08-18,
65,2022,파로호,스릴러,임상수,서준원,임상수,"이중옥 , 김대건 , 김연교 , 변중희 , 강말금 , 공민정 , 홍지석 , 선종남 , 성도현 , 김정화 , 최종률 , 이수미 , 이재인 , 윤상화 , 윤지수 , 김가영 , 리민 , 이성순 , 김정한 , 박재원 , 공지영 , 허태경 , 김선미 , 권지숙 , 윤운영 , 국태근 , 강병걸 , 김희수 , 하경한 , 이재우 , 송예은 , 이정훈 , 김경일 , 장동하 , 박진서 , 장정환 , 김성권 , 송예은",,,영화진흥위원회,(주)더쿱디스트리뷰션,한국영화아카데미,2022-08-18,
66,2022,내가 못 나가는 것도 아닌데,"드라마,코미디",김충길,,김충길,"김충길 , 이원선 , 한동원 , 신연재 , 임성균 , 이사라 , 김광태 , 김우현 , 이도군 , 이원진 , 정회동",,,,김충길 필름,김충길 필름,2022-08-24,
67,2021,어웨이크,미스터리,이윤호,"이하영 , 박미현",이윤호,"임세미 , 성지루 , 한지원 , 조용준 , 정윤지 , 이강희 , 박정언 , 안태린 , 이유나 , 김정인",,,주식회사 엔픽플,"주식회사 엔픽플 , 트윈플러스파트너스(주)",주식회사 티에스나린시네마,2022-08-24,
68,2022,육사오(6/45),코미디,박규태,박경원,박규태,"고경표 , 이이경 , 음문석 , 박세완 , 이순원 , 곽동연 , 김민호 , 류승수 , 윤병희 , 이준혁 , 신원호 , 남도윤 , 서정우 , 최민혁 , 배한솔 , 정상철 , 강길준 , 김건우 , 김슬민 , 오병곤 , 윤지용 , 박치우 , 이학주 , 김관모 , 홍민기 , 김민규 , 김백겸 , 문경민 , 박혁진 , 유병수 , 이태경 , 윤지홍 , 손경표 , 강운 , 최현태 , 서한돌 , 이동환 , 구본혁 , 김진형 , 송호제 , 신문선 , 이건록 , 이동기 , 이수 , 이시안 , 이지운 , 정시훈 , 채원우 , 최기표 , 황민혁 , 황태훈 , 최원 , 서지원 , 오혜금 , 편한마음 , 김재민 , 이종훈 , 조미초 , 이예진 , 정인기 , 박희진 , 이현걸 , 오현수 , 정용식",2021-04-20,,"(주)홈초이스 , (주)싸이더스","(주)홈초이스 , (주)싸이더스","(주)티피에스컴퍼니 , (주)싸이더스",2022-08-24,
69,2021,말아,드라마,곽민승,,민강산,"심달기 , 정은경 , 우효원 , 정의순 , 손석배 , 유연석 , 이준섭 , 박예진 , 정미경 , 이보림 , 윤범식 , 곽민승 , 송자희 , 정은미 , 곽진영 , 김미경 , 김인숙 , 김수진 , 서은영 , 곽민승 , 배유리",,,,㈜인디스토리,왓에버웍스,2022-08-25,
70,2021,인플루엔자,드라마,황준하,,황준하,"김다솔 , 추선우 , 김수지 , 안서희 , 왕화영 , 김종숙 , 김남혜 , 김용환 , 문진희",,,,아이 엠,아이 엠,2022-08-25,
71,2021,작은새와 돼지씨,다큐멘터리,김새봄,"이미혜 , 권은비 , 김새봄",,"김춘나 , 김종석 , 김새봄",,,,필름다빈,레드펀트,2022-08-25,
72,2022,코코순이,다큐멘터리,이석재,,이석재,,,,,커넥트픽쳐스(주),"KBS , 커넥트픽쳐스(주)",2022-08-25,
73,2020,테이크 오프: 파도위에 서다,드라마,강대희,,,"박서진 , 조재윤",,,,(주)아우라픽처스,"데이 나이트 컴퍼니 , (주)프레임픽쳐스",2022-08-25,
